,ifsc_code,bank_id,bank_name,branch,addres,city,district,state
8086,ICIC0006087,8,ICICI BANK LIMITED,MANNARGUDI,THIRUVARUR DIST,MANNARGUDI,THIRUVARUR,TAMIL NADU
8131,ICIC0006285,8,ICICI BANK LIMITED,MEERUT┬á,MEERUT┬á,MEERUT,MEERUT,UTTAR PRADESH
8384,ICIC0006855,8,ICICI BANK LIMITED,BARAN,"MAIN BAZAR,BARAN-325205",BARAN,BARAN,RAJASTHAN
40790,ICIC0006689,8,ICICI BANK LIMITED,POTLAN,"POTLAN-311810,GANGAPUR TALUKA",POTLAN,BHILWARA,RAJASTHAN
41269,ICIC0006802,8,ICICI BANK LIMITED,ABU ROAD,"SADAR BAZAR,ABU ROAD,TEH.ABU ROAD,307026",ABU ROAD,SIROHI,RAJASTHAN
41316,ICIC0006925,8,ICICI BANK LIMITED,SALUMBER,"SALUMBAR,PIN-313027,SALUMBAR TEHSIL",SALUMBAR,UDAIPUR,RAJASTHAN
41872,ICIC0006926,8,ICICI BANK LIMITED,SHERGARH,"SHERGARH,TEH.BAGIDORA,327001",SHERGARH,BANSWARA,RAJASTHAN
42049,ICIC0006927,8,ICICI BANK LIMITED,SURPUR,"SURPUR,TEH.BANSWARA,327001",SURPUR,BANSWARA,RAJASTHAN
42183,ICIC0006928,8,ICICI BANK LIMITED,TAMBESARA,"TAMBESARA,TEH.KUSHALGARH,327602",TAMBESARA,BANSWARA,RAJASTHAN
45968,ICIC0000179,8,ICICI BANK LIMITED,GIDC CROSS ROAD  VAPI┬á,VAPI┬á,VAPI,VALSAD,GUJARAT
46086,ICIC0000001,8,ICICI BANK LIMITED,CHENNAI - CENOTAPH ROAD┬á,"1, CENOTAPH ROAD, CHENNAI.┬á",CHENNAI,CHENNAI,TAMIL NADU
46087,ICIC0000002,8,ICICI BANK LIMITED,BANGALORE - M G ROAD┬á,"ICICI BANK TOWERS, 1, COMMISSARIAT ROAD, GROUND FLOOR, BANGALORE┬á560025.┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46088,ICIC0000003,8,ICICI BANK LIMITED,VADODARA┬á,"ICICI BANK LANDMARK BUILDING, RACE COURSE CIRCLE, ALKAPURI, VADODARA.┬á390007┬á",VADODARA,VADODARA,GUJARAT
46089,ICIC0000004,8,ICICI BANK LIMITED,MUMBAI - NARIMAN POINT┬á,"215, FREE PRESS HOUSE, FREE PRESS MARG, NARIMAN POINT, MUMBAI.┬á 400021┬á",MUMBAI,GREATER MUMBAI,MAHARASHTRA
46090,ICIC0000005,8,ICICI BANK LIMITED,PUNE - BUND GARDEN┬á,"ICICI BANK A-WING, SHANGRILA GARDENS, BUND GARDEN ROAD, PUNE.┬á 411001┬á",PUNE,PUNE,MAHARASHTRA
46091,ICIC0000006,8,ICICI BANK LIMITED,KOLKATA - R N MUKHERJEE,"20, R N MUKHERJEE ROAD, KOLKATA.┬á700001┬á",KOLKATA,KOLKATA,WEST BENGAL
46092,ICIC0000007,8,ICICI BANK LIMITED,NEW DELHI - CONNAUGHT PLACE┬á,"9A, PHELPS BUILDING, CONNAUGHT PLACE, NEW DELHI.┬á110001┬á",DELHI,DELHI,DELHI
46093,ICIC0000008,8,ICICI BANK LIMITED,CIBD HYDERABAD,"ICICI BANK TOWERS, CIBD, LEVEL 1, WAST WING, 1-11-256, STREET NO. 1, BEGUMPET, HYDERABAD.┬á500016┬á",HYDERABAD,HYDERABAD,ANDHRA PRADESH
46094,ICIC0000009,8,ICICI BANK LIMITED,CHENNAI - NUNGAMBAKKAM┬á,"110, PRAKASH PRESIDIUM, UTHAMAR GANDHI SALAI, (NUNGAMBAKKAM HIGH ROAD), CHENNAI.┬á600034┬á",CHENNAI,CHENNAI,TAMIL NADU
46095,ICIC0000010,8,ICICI BANK LIMITED,ERNAKULAM (COCHIN)┬á,ERNAKULAM,ERNAKULAM,ERNAKULAM,KERALA
46096,ICIC0000011,8,ICICI BANK LIMITED,MUMBAI - ANDHERI┬á,"SAGAR AVENUE, GROUND FLOOR, OPP. SHOPPERS STOP, S.V. ROAD, ANDHERI (W), MUMBAI.┬á400058┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46097,ICIC0000012,8,ICICI BANK LIMITED,JAIPUR┬á,"C-99, SHREEJI TOWERS, SUBHASH MARG, NEAR AHIMSA CIRCLE, C SCHEME, JAIPUR.┬á302001┬á",JAIPUR,JAIPUR,RAJASTHAN
46098,ICIC0000013,8,ICICI BANK LIMITED,CHANDIGARH - SECTOR 9C┬á,"SCO 9-10-11, SECTOR 9-D. CHANDIGARH┬á160017┬á",CHANDIGARH,CHANDIGARH,CHANDIGARH
46099,ICIC0000014,8,ICICI BANK LIMITED,MANGALORE┬á,"ICICI BANK GROUND FLOOR, BHARATH BUILDING, POST BOX NO. 44, PANJE MANGESH RAO ROAD, MANGALORE.┬á 575001┬á",MANGALORE,DAKSHIN KANNAD,KARNATAKA
46100,ICIC0000015,8,ICICI BANK LIMITED,PANAJI┬á,"65, SINDUR BUSINESS CENTRE, SWAMI VIVEKANAND ROAD,┬á┬áPANAJI┬á403001┬áGOA┬á",PANAJI,NORTH GOA,GOA
46101,ICIC0000016,8,ICICI BANK LIMITED,COIMBATORE - TRICHY ROAD┬á,"ICICI BANK CHERAN PLAZA, 1090, TRICHY ROAD, COIMBATORE.┬á641018┬á",COIMBATORE,COIMBATORE,TAMIL NADU
46102,ICIC0000017,8,ICICI BANK LIMITED,LUDHIANA - FEROZE GANDHI MARKET CIBD┬á,"ICICI BANK LTD., NEHRU SIDHANT KENDER TRUST BUILDING, FEROZ GANDHI MARKET, LUDHIANA - 141001, PUNJAB",LUDHIANA,LUDHIANA,PUNJAB
46103,ICIC0000018,8,ICICI BANK LIMITED,MUMBAI - BORIVALI┬á,"ABHILASHA-1, PUNJABI LANE, BORIVALI (W), MUMBAI.┬á400092┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46104,ICIC0000019,8,ICICI BANK LIMITED,THANE - MIRA ROAD┬á,"SURYA SHOPPING CENTRE, SECTOR 5, SHRISHTI RESIDENTIAL COMPLEX, MIRA ROAD (E), THANE.┬á401104┬á",THANE,THANE,MAHARASHTRA
46105,ICIC0000020,8,ICICI BANK LIMITED,MUMBAI - POWAI┬á,"GALLERIA SHOPPING MALL, HIRANANDANI GARDENS, POWAI, MUMBAI.┬á400076┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46106,ICIC0000021,8,ICICI BANK LIMITED,GURGAON - SECTOR 14┬á,"PLOT NO. SCF-81, HUDA SHOPPING CENTRE, SECTOR 14, MARKET COMPLEX, GURGAON.┬á122001┬á",GURGAON,GURGAON,HARYANA
46107,ICIC0000022,8,ICICI BANK LIMITED,THANE - VASAI┬á,"VIMAL SHOPPING CENTRE, MAIN ROAD, NEAR POST OFFICE, VASAI ROAD (W).┬á401202┬á",THANE,THANE,MAHARASHTRA
46108,ICIC0000023,8,ICICI BANK LIMITED,MARGAO┬á,MARGAO┬á,MARGAO,SOUTH GOA,GOA
46109,ICIC0000024,8,ICICI BANK LIMITED,AHMEDABAD - JMC HOUSE┬á,"JMC HOUSE, OPP. PARIMAL GARDENS,OFF C.G.ROAD AMBAWADI, AHMEDABAD - 380 006.┬á",AHMEDABAD,AHMADABAD,GUJARAT
46110,ICIC0000025,8,ICICI BANK LIMITED,KUTCHERY STREET - GOBICHETTIPALAYAM┬á,GOBICHETTIPALAYAM┬á,ERODE,ERODE,TAMIL NADU
46111,ICIC0000026,8,ICICI BANK LIMITED,MUMBAI - GHATKOPAR┬á,"KAILASH PLAZA, FINAL PLOT 355, VALLABH BAUG LANE, OPP. ODEON CINEMA, GHATKOPAR EAST, MUMBAI.┬á400077┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46112,ICIC0000027,8,ICICI BANK LIMITED,NASHIK┬á,"U-1, CROWN COMMERCIAL COMPLEX, OPP. RAJIV GANDHI BHAVAN (NMC), UTILITY CENTRE, SHARANPUR ROAD, NASHIK.┬á - 422002┬á",NASHIK,NASIK,MAHARASHTRA
46113,ICIC0000028,8,ICICI BANK LIMITED,THANE - BHAYANDER┬á,"PORWAL COMPLEX, SHOP NO. 13, DR B.R. AMBEDKAR ROAD, BHAYANDAR (W), THANE.┬á401101┬á",THANE,THANE,MAHARASHTRA
46114,ICIC0000029,8,ICICI BANK LIMITED,NEW DELHI - GREATER KAILASH┬á,"W-57.GREATER KAILASH , PART-I, NEW DELHI.┬á110048┬á",DELHI,DELHI,DELHI
46115,ICIC0000030,8,ICICI BANK LIMITED,MAPUSA┬á,MAPUSA┬á,MAPUSA,NORTH GOA,GOA
46116,ICIC0000031,8,ICICI BANK LIMITED,NOIDA - SECTOR 18┬á,"G-31 & 32, SECTOR 18, GAUTAM BUDDH NAGAR DISTRICT, NOIDA, UTTAR PRADESH.┬á201301┬á",NOIDA,GAUTAM BUDDHA NAGAR,UTTAR PRADESH
46117,ICIC0000032,8,ICICI BANK LIMITED,MUMBAI - DADAR┬á,"167-C, POONAWADI, DR. AMBEDKAR ROAD, DADAR, MUMBAI.┬á400014┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46118,ICIC0000033,8,ICICI BANK LIMITED,COIMBATORE - PRICOL┬á,"ICICI BANK PREMIER INSTRUMENTS AND CONTROLS LTD., (PRICOL) FACTORY PREMISES, METTUPALAYAM ROAD, PERIANAICKENPALAYAM, COIMBATORE.┬á641020┬á",COIMBATORE,COIMBATORE,TAMIL NADU
46119,ICIC0000034,8,ICICI BANK LIMITED,KOLKATA - BALLYGUNGE┬á,"RISHIKESH, 1/1, ASHUTOSH -CHOWUDHRY AVENU BALLYGUNGE KOLKATA 700019┬á700019┬á",KOLKATA,KOLKATA,WEST BENGAL
46120,ICIC0000035,8,ICICI BANK LIMITED,THANE┬á,"PALM COURT, RAM MARUTI ROAD, NAUPADA, THANE (W).┬á",THANE,THANE,MAHARASHTRA
46121,ICIC0000036,8,ICICI BANK LIMITED,MUMBAI - I-SERV - EXTN.┬á,"MARATHA MANDIR ANNEX, DR. ANAND RAO NAIR ROAD, OPP. MUMBAI CENTRAL STATION, MUMBAI.┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46122,ICIC0000037,8,ICICI BANK LIMITED,DELHI - PREET VIHAR┬á,"SINCERE TOWERS IV, COMMUNITY CENTRE, PREET VIHAR, DELHI.┬á110092┬á",DELHI,DELHI,DELHI
46123,ICIC0000038,8,ICICI BANK LIMITED,MUMBAI - BANDRA┬á,"PLOT NO.206-221,KRYSTAL BLDG,WATERFIELD ROAD,BANDRA(WEST),MUMBAI┬á400050┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46124,ICIC0000039,8,ICICI BANK LIMITED,SHIVAJINAGAR┬á,"ICICI BANK LTD, 1194/8, RAMCHANDRA SABHAMANDAP, GHOLE ROAD , SHIVAJI NAGAR, PUNE.",PUNE,PUNE,MAHARASHTRA
46125,ICIC0000040,8,ICICI BANK LIMITED,HYDERABAD - MADHAPUR┬á,"ICICI BANK LIMITED, 101-102, SMR VINAY TECHNOPOLIS, BESIDES JAYABHERI SILICON COUNTRY, MADHAPUR, HYDERABAD-500081.",HYDERABAD,HYDERABAD,ANDHRA PRADESH
46126,ICIC0000041,8,ICICI BANK LIMITED,INDORE,"ICICI BANK LTD, MALAV PARISAR,4 CHOTI KHAJRANI,A.B. ROAD.INDORE 452008 (M.P).",INDORE,INDORE,MADHYA PRADESH
46127,ICIC0000042,8,ICICI BANK LIMITED,KOLKATA - SALT LAKE┬á,"BJ-140, SECTOR II, SALT LAKE CITY, KOLKATA┬á700091┬á",KOLKATA,KOLKATA,WEST BENGAL
46128,ICIC0000043,8,ICICI BANK LIMITED,PANCHKULA┬á,"SHOW ROOM NO. 6, SECTOR 11, PANCHKULA, HARYANA.┬á134109┬á",PANCHKULA,PANCHKULA,HARYANA
46129,ICIC0000044,8,ICICI BANK LIMITED,AURANGABAD┬á,AURANGABAD┬á,AURANGABAD,AURANGABAD,MAHARASHTRA
46130,ICIC0000045,8,ICICI BANK LIMITED,MADHUBAN  UDAIPUR┬á,UDAIPUR┬á,UDAIPUR,UDAIPUR,RAJASTHAN
46131,ICIC0000046,8,ICICI BANK LIMITED,COMMUNITY CENTRE,"ICICI BANK LTD.,┬á 43, COMMUNITY CENTER, NEW DELHI - 110065, DELHI",DELHI,DELHI,DELHI
46132,ICIC0000047,8,ICICI BANK LIMITED,BANGALORE - KORAMANGALA┬á,"NO:117,KORAMANGALA INDUSTRIAL LAYOUT,VII BLOCK,BANGALORE┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46133,ICIC0000048,8,ICICI BANK LIMITED,SECUNDERABAD - SD ROAD┬á,"G-1, NAVKETAN, 62, S.D. ROAD, SECUNDERABAD.┬á",SECUNDERABAD CANTONMENT,HYDERABAD,ANDHRA PRADESH
46134,ICIC0000049,8,ICICI BANK LIMITED,MUBARAKI ROAD DAHANU┬á,DAHANU┬á,DAHANU,THANE,MAHARASHTRA
46135,ICIC0000051,8,ICICI BANK LIMITED,MOTI KAVADI,"SECTOR 12, ROAD NO.1, RPL TOWNSHIP MOTI KAVDI, P.O. DIGVIJAY GRAM, JAMNAGAR DISTRICT.┬á",JAMNAGAR,JAMNAGAR,GUJARAT
46136,ICIC0000052,8,ICICI BANK LIMITED,SURAT - ATHWA LINES┬á,"ICICI BANK ANJAN SHALAKA, LAL BUNGALOW, ATHWA LINES, SURAT.┬á395007┬á",SURAT,SURAT,GUJARAT
46137,ICIC0000053,8,ICICI BANK LIMITED,BANGALORE - JAYANAGAR┬á,"80-7, ELEPHANT ROCK ROAD, 3RD BLOCK, JAYANAGAR, BANGALORE.┬á560011┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46138,ICIC0000054,8,ICICI BANK LIMITED,CHENNAI - NANGANALLUR┬á,"ANNAPURNA, NO.3, 17TH STREET (NEXT TO GANESH MANDALI), NANGANALLUR, CHENNAI.┬á600061┬á",CHENNAI,CHENNAI,TAMIL NADU
46139,ICIC0000055,8,ICICI BANK LIMITED,BHOPAL┬á,"ICICI BANK PLOT NO. 11, ZONE II, ALANKAR PALACE NEAR PRAGATI PETROL PUMP, M. P. NAGAR, BHOPAL.┬á462011┬á",PUNE,PUNE,MAHARASHTRA
46140,ICIC0000056,8,ICICI BANK LIMITED,MISSION STREET,"ICICI BANK LTD., NO.49, MISSION STREET, PONDICHERRY - 605001",PONDICHERRY,PONDICHERRY,PUDUCHERRY
46141,ICIC0000057,8,ICICI BANK LIMITED,MUMBAI - PRABHADEVI┬á,"GR. FLR., KALA ACADEMY, RAVINDRA NATYA MANDIR, PRABHADEVI, MUMBAI.┬á400028┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46142,ICIC0000058,8,ICICI BANK LIMITED,MOHALI┬á,"SCF 21-22, PHASE VII, SAS NAGAR, MOHALI.┬á160059┬á",SAS NAGAR(MOHALI),RUPNAGAR,PUNJAB
46143,ICIC0000059,8,ICICI BANK LIMITED,NAGPUR - CIVIL LINES┬á,"VISHNU VAIBHAV, 222, PALM ROAD, CIVIL LINES, NAGPUR.┬á440001┬á",NAGPUR,NAGPUR,MAHARASHTRA
46144,ICIC0000060,8,ICICI BANK LIMITED,VISHAKAPATNAM┬á,"ICICI BANK 47-14-18, ISNAR SATYASRI COMPLEX, MAIN ROAD, DWARKANAGAR, VISHAKAPATNAM.┬á530016┬á",VISAKHAPATNAM,VISHAKHAPATNAM,ANDHRA PRADESH
46145,ICIC0000061,8,ICICI BANK LIMITED,BHUBANESWAR┬á,"OCCF BUILDING, OPP SRIYA TALKIES, UNIT - III, BHUBANESWAR┬á751001┬á",BHUBANESWAR,KHURDA,ODISHA
46146,ICIC0000062,8,ICICI BANK LIMITED,MAHIM ROAD - PALGHAR┬á,PALGHAR┬á,PALGHAR,THANE,MAHARASHTRA
46147,ICIC0000063,8,ICICI BANK LIMITED,BOISAR-TARAPUR ROAD BOISAR┬á,BOISAR┬á,BOISAR,THANE,MAHARASHTRA
46148,ICIC0000064,8,ICICI BANK LIMITED,AHMEDABAD - DRIVE-IN-CINEMA┬á,"SWAMINI COMPLEX, OPP. DRIVE-IN CINEMA,DRIVE IN ROAD, AHMEDABAD.┬á380054┬á",AHMEDABAD,AHMADABAD,GUJARAT
46149,ICIC0000065,8,ICICI BANK LIMITED,NEW DELHI - VASANT VIHAR┬á,"C-17, LOCAL SHOPPING CENTRE, PASCHIMI MARG, VASANT VIHAR, NEW DELHI.┬á110057┬á",DELHI,DELHI,DELHI
46150,ICIC0000066,8,ICICI BANK LIMITED,AMRITSAR┬á,"NIDHI, 2, LAWRENCE ROAD, AMRITSAR, PUNJAB.┬á143001┬á",AMRITSAR,AMRITSAR,PUNJAB
46151,ICIC0000067,8,ICICI BANK LIMITED,AHMEDABAD - SATELLITE AREA┬á,"FF/7 & 8, TIRTHJAL COMPLEX, 132 FEET RING ROAD, JODHPURGAM (SATELLITE AREA), AHMEDABAD DISTRICT.┬á380015┬á",AHMEDABAD,AHMADABAD,GUJARAT
46152,ICIC0000068,8,ICICI BANK LIMITED,VALSAD - TITHAL ROAD┬á,VALSAD┬á,BULSAR,VALSAD,GUJARAT
46153,ICIC0000069,8,ICICI BANK LIMITED,HYDERABAD - HABSIGUDA┬á,"7-102/5 & 12, GROUND FLOOR, SAI ENCLAVE, AJAY CHAMBERS, UPPAL ROAD, HABSIGUDA, HYDERABAD.┬á500007┬á",HYDERABAD,HYDERABAD,ANDHRA PRADESH
46154,ICIC0000071,8,ICICI BANK LIMITED,NEW DELHI - GREEN PARK┬á,"H/2, GREEN PARK EXTENSION, NEW DELHI.┬á110016┬á",DELHI,DELHI,DELHI
46155,ICIC0000072,8,ICICI BANK LIMITED,UDUPI DISTRICT,MANIPAL┬á,UDUPI,UDIPI,KARNATAKA
46156,ICIC0000073,8,ICICI BANK LIMITED,PUNE - AUNDH┬á,"ICICI BANK GULMOHAR PARK, PLOT 1 A, ITI ROAD, AUNDH, PUNE - 411 007.┬á",PUNE,PUNE,MAHARASHTRA
46157,ICIC0000074,8,ICICI BANK LIMITED,PUNE - KONDHWA┬á,"ICICI BANK KRISHNAKEVAL COMMERCIAL COMPLEX, MAIN KONDHWA ROAD, KONDHWA, PUNE.┬á 411048┬á",PUNE,PUNE,MAHARASHTRA
46158,ICIC0000075,8,ICICI BANK LIMITED,HYDERABAD - SANJEEVA REDDY NAGAR┬á,"7-1-621/B1-B6, GROUND FLOOR, AMIR CHAMBERS, MAIN ROAD, SANJEEVA REDDY NAGAR, HYDERABAD.┬á",HYDERABAD,HYDERABAD,ANDHRA PRADESH
46159,ICIC0000076,8,ICICI BANK LIMITED,JUBILEE HILLS┬á,"ICICI BANK LTD., 8-2-293/A/1268, PLOT NO. 1268, ROAD NO. 36, JUBILEE HILLS, HYDERABAD - 500033, ANDHRA PRADESH.",HYDERABAD,HYDERABAD,ANDHRA PRADESH
46160,ICIC0000077,8,ICICI BANK LIMITED,CHENNAI - ASHOK NAGAR┬á,"25, FIRST AVENUE , ASHOK NAGAR, CHENNAI - 600083┬á",CHENNAI,CHENNAI,TAMIL NADU
46161,ICIC0000078,8,ICICI BANK LIMITED,BANGALORE - MALLESHWARAM┬á,"NO.95/1, 11TH CROSS, 4TH MAIN, MALLESWARAM, BANGALORE.┬á560003┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46162,ICIC0000079,8,ICICI BANK LIMITED,JALLANDHAR - NURMAHAL┬á,JALLANDAR┬á,NURMAHAL,JALANDHAR,PUNJAB
46163,ICIC0000080,8,ICICI BANK LIMITED,JALLANDHAR - NAKODAR┬á,JALLANDAR┬á,JALANDHAR,JALANDHAR,PUNJAB
46164,ICIC0000081,8,ICICI BANK LIMITED,BANGA ROAD - NAWANSHAHAR┬á,NAWANSHAHAR┬á,BANGA,NAWANSHAHR,PUNJAB
46165,ICIC0000082,8,ICICI BANK LIMITED,JALLANDHAR┬á,"OPP. KINGS HOTEL, 22-23, G.T.ROAD, JALLANDHAR.┬á144001┬á",JALANDHAR,JALANDHAR,PUNJAB
46166,ICIC0000083,8,ICICI BANK LIMITED,FARIDABAD - SECTOR 15┬á,"SCF NO. 58, SECTOR - 15, FARIDABAD, HARYANA.┬á121007┬á",FARIDABAD,FARIDABAD,HARYANA
46167,ICIC0000084,8,ICICI BANK LIMITED,BIDADI┬á,"PLOT NO. CA 2P1, NEAR TOYOTA KIRLOSKAR MOTOR LIMITED, BIDADI INDUSTRIAL AREA, RAMANAGARAM TALUK, BANGALORE RURAL DISTRICT.┬á562109┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46168,ICIC0000085,8,ICICI BANK LIMITED,VALLABH VIDYA NAGAR,"FLAVOURS, NEAR BHAIKAKA STATUE, MOTA BAZAR, VALLABH VIDYANAGAR, GUJARAT.┬á",VALLABH VIDYANAGAR,ANAND,GUJARAT
46169,ICIC0000086,8,ICICI BANK LIMITED,BHUJ┬á,"SIDDACHAL HOSPITAL ROAD, BHUJ, GUJARAT. 370001",BHUJ,KACHCHH,GUJARAT
46170,ICIC0000087,8,ICICI BANK LIMITED,NEW DELHI - JANAKPURI┬á,"MAHATTA TOWERS, 54, B-BLOCK, COMMUNITY CENTRE, JANAKPURI, NEW DELHI.┬á110058┬á",DELHI,DELHI,DELHI
46171,ICIC0000088,8,ICICI BANK LIMITED,THANE - DOMBIVALI┬á,"P-78, MIDC RESIDENTIAL AREA, NEXT TO MAMTA HOSPITAL,MIDC PHASE-II, DOMBIVLI (E), THANE DISTRICT.┬á421203┬á",THANE,THANE,MAHARASHTRA
46172,ICIC0000089,8,ICICI BANK LIMITED,JAMSHEDPUR┬á,"NATRAJ MANSION, MAIN ROAD, BISTUPUR, JAMSHEDPUR.┬á831001┬á",JAMSHEDPUR,PURBI SINGHBHUM,JHARKHAND
46173,ICIC0000102,8,ICICI BANK LIMITED,SME CENTRAL OPERATIONS,"IST FLOOR, 192, MOUNT ROAD, KARUMUTTU NILAYAM, CHENNAI -  600 002.",CHENNAI,CHENNAI,TAMIL NADU
46174,ICIC0000103,8,ICICI BANK LIMITED,RPC MUMBAI,"ICICI BANK LTD. 5TH FLOOR,CHANDIVALI, ANDHERI E, MUMBAI 400072",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46175,ICIC0000104,8,ICICI BANK LIMITED,CMS,"1ST FLOOR, EMPIRE COMPLEX, 414, S.B MARG, LOWER PAREL, MUMBAI 400 013.",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46176,ICIC0000106,8,ICICI BANK LIMITED,RPC DELHI,"ICICI BANK RPC OFFICE,VIDEOCON TOWERS, E-1,JHANDEWALAN EXTENSION, NEAR DELHI PRESS, DELHI ┬û 110055",DELHI,DELHI,DELHI
46177,ICIC0000126,8,ICICI BANK LIMITED,CENTRAL PROCESSING CENTER BRANCH (GTSU),"ICICI BANK LTD. 1ST FLOOR,  EMPIRE COMPLEX, SENAPATI BAPAT MARG, LOWER PAREL(WEST), MUMBAI ┬û 400013",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46178,ICIC0000151,8,ICICI BANK LIMITED,MUMBAI - VASHI┬á,"GROUND FLOOR, ARTI, SHIVAJI CHOWK, SECTOR 2, VASHI, NAVI MUMBAI.┬á400703┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46179,ICIC0000152,8,ICICI BANK LIMITED,MYSORE┬á,MYSORE┬á,MYSORE,MYSORE,KARNATAKA
46180,ICIC0000153,8,ICICI BANK LIMITED,RAJKOT - JAI HIND PRESS┬á,"JAI HIND PRESS ANNEXE, OPP. SHARDABAUG, BABUBHAI SHAH MARG, RAJKOT.┬á360001┬á",RAJKOT,RAJKOT,GUJARAT
46181,ICIC0000154,8,ICICI BANK LIMITED,NEW DELHI - PITAMPURA┬á,"PLOT NO. 5, SAVITRI MARKET, D P BLOCK, L S C, PITAMPURA, NEW DELHI.┬á110034┬á",DELHI,DELHI,DELHI
46182,ICIC0000155,8,ICICI BANK LIMITED,NEW DELHI - PUNJABI BAGH┬á,"19 & 20 CENTRAL MARKET, WEST AVENUE ROAD, PUNJABI BAGH, NEW DELHI.┬á110026┬á",DELHI,DELHI,DELHI
46183,ICIC0000156,8,ICICI BANK LIMITED,HOSUR,"ICICI BANK LTD,  GSN ARCADE, BESIDE VEMALA KALYANA MANDAPAM,  HOSUR -  635109,  KRISHNAGIRI DISTRICT, TAMI NADU",HOSUR,KRISHNAGIRI,TAMIL NADU
46184,ICIC0000157,8,ICICI BANK LIMITED,TRAVELLERS BUNGLOW ROAD  HUBLI,HUBLI,HUBLI-DHARWAD,DHARWAD,KARNATAKA
46185,ICIC0000158,8,ICICI BANK LIMITED,MUMBAI - MALAD┬á,"SHIVAM SHOPPING CENTRE, S.V.ROAD, OPP. NEW ERA CINEMA, MALAD (W), MUMBAI.┬á400064┬á",MUMBAI,GREATER BOMBAY,MAHARASHTRA
46186,ICIC0000159,8,ICICI BANK LIMITED,BANGALORE - VIJAYANAGAR┬á,"NO.1740, 17TH CROSS, VIJAYANAGAR, BANGALORE.┬á560040┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46187,ICIC0000160,8,ICICI BANK LIMITED,NEW DELHI - MODEL TOWN┬á,"H-2, MODEL TOWN - III, NEW DELHI.┬á110009┬á",DELHI,DELHI,DELHI
46188,ICIC0000161,8,ICICI BANK LIMITED,RAIPUR┬á,"GE ROAD, CHOUBEY COLONY, RAIPUR.┬á492010┬á",RAIPUR,RAIPUR,CHANDIGARH
46189,ICIC0000162,8,ICICI BANK LIMITED,PATIALA - CHOTTI BARADARI┬á,"SCO NO.6, CHOTTI BARADARI, PATIALA.┬á147001┬á",PATIALA,PATIALA,PUNJAB
46190,ICIC0000163,8,ICICI BANK LIMITED,BATHINDA┬á,"SWADESH COMPLEX, G.T ROAD,NR HANUMAN CBOWK, BATHINDA 151001",BATHINDA,BATHINDA,PUNJAB
46191,ICIC0000164,8,ICICI BANK LIMITED,DEHRADUN┬á,"ICICI BANK 52/15, RAJPUR ROAD, DILARAM BAZAR, DEHRADUN.┬á248001┬á",DEHRADUN,DEHRA DUN,UTTARAKHAND
46192,ICIC0000165,8,ICICI BANK LIMITED,GANDHINAGAR┬á,"PLOT NO.315, SECTOR 16, GANDHINAGAR, GUJRAT.┬á328016┬á",GANDHINAGAR,GANDHINAGAR,GUJARAT
46193,ICIC0000166,8,ICICI BANK LIMITED,KOLHAPUR┬á,"GROUND FLOOR, VASANT PLAZA, RAJARAM ROAD, RAJARAMPURI, KOLHAPUR.┬á - 416001┬á",KOLHAPUR,KOLHAPUR,MAHARASHTRA
46194,ICIC0000167,8,ICICI BANK LIMITED,RESIDENCY ROAD  JODHPUR,JODHPUR,JODHPUR,JODHPUR,RAJASTHAN
46195,ICIC0000168,8,ICICI BANK LIMITED,ROHTAK┬á,"ASHOKA PLAZA, DELHI ROHTAK ROAD, ROHTAK, HARAYANA.┬á - 124001┬á",ROHTAK,ROHTAK,HARYANA
46196,ICIC0000169,8,ICICI BANK LIMITED,BANGALORE - INDIRA NAGAR┬á,"SALARPURIA HOUSE, # 496, CMH ROAD, INDIRA NAGAR.┬á560038┬á",BANGALORE,BANGALORE URBAN,KARNATAKA
46197,ICIC0000170,8,ICICI BANK LIMITED,P.B. ROAD  DHARWAD,DHARWAD,HUBLI-DHARWAD,DHARWAD,KARNATAKA
46198,ICIC0000171,8,ICICI BANK LIMITED,NEW DELHI - SAKET┬á,"E-30, SAKET, NEW DELHI.┬á110017┬á",DELHI,DELHI,DELHI
46199,ICIC0000172,8,ICICI BANK LIMITED,REQ SQUARE MARKER  HISSAR,HISSAR,HISAR,HISAR,HARYANA
